,title,company,salary,summary
114,newPython Developer,QuantSpark,"£40,000 - £50,000 a year",We go beyond the remit of traditional strategy consultancies by blending advanced data analytics and software engineering capabilities to build analytical tools…
115,newPython Developer,Origin Digital,"Up to £70,000 a year","Python developer that understands and demonstrates best practices when writing code.To understand requirements, follow best practices, and actively participate…"
116,newContractor : Python Developer,Cambridge Consultants Ltd,,We’re looking for experienced contractors to support us on developing a complex multi-element test and CI infrastructure.
117,Python Developer,Shloka IT Consulting LTD,"£28,000 - £38,000 a year","Experienced in writing python and loves to code.Produce software design specifications relating to data, API and cloud services."
118,Python Developer,Morgan Stanley,,The role would suit candidates who have a strong Python background with particular emphasis on Scripting and Databases.
119,Django Developer,Tuli Health,"£30,000 - £60,000 a year",Tuli Health is a digital health platform that provides instant access to private medical appointments and testing.Improve functionality of existing systems.
120,Python Developer,ONQOR Group,"£30,000 - £35,000 a year","We are heavily creative with a focus on helping brands that are sustainable, ethical & moral, ONQOR Group is a 360° Marketing & Technology Agency proudly…"
121,Junior Python Developer,Answer Digital,,"NET, JavaScript and related technologies.Have a demonstrable thirst for learning (including self-learning) and forever have your eyes peeled for the next new…"
122,newPython Developer,"JPMorgan Chase Bank, N.A.",,In order to deliver against these objectives there is a requirement for an integrated software solution to manage the end to end lifecycle of infrastructure…
123,Python/ Go Developer,Headforwards,"£50,000 - £70,000 a year","Knowledge of relational and / or non-relational (NoSQL) databases (we use MongoDB, Postgres).You will have used Python or Go (If you have good commercial…"
124,Junior Front End Developer,Cado Security Ltd,"£35,000 - £45,000 a year",Designing and building the front-end of our products that have a focus on digital forensics and cloud technologies.Docker and Bitbucket Pipelines for CI.
125,newPython Developer,QuantSpark,"£40,000 - £50,000 a year",We go beyond the remit of traditional strategy consultancies by blending advanced data analytics and software engineering capabilities to build analytical tools…
126,newPython Developer,Origin Digital,"Up to £70,000 a year","Python developer that understands and demonstrates best practices when writing code.To understand requirements, follow best practices, and actively participate…"
127,newContractor : Python Developer,Cambridge Consultants Ltd,,We’re looking for experienced contractors to support us on developing a complex multi-element test and CI infrastructure.
128,Python Developer,Shloka IT Consulting LTD,"£28,000 - £38,000 a year","Experienced in writing python and loves to code.Produce software design specifications relating to data, API and cloud services."
129,Python Developer,Morgan Stanley,,The role would suit candidates who have a strong Python background with particular emphasis on Scripting and Databases.
130,Graduate Python Developer,Fundment,"£30,000 - £50,000 a year",Experienced in writing python and loves to code.Analysis of financial data and appropriate application of cutting-edge technology such as machine learning.
131,Python/Flask Developer,develop.,£400 - £625 a day,A successful candidate should have 3 years minimum python web development experience in a commercial setting.This contract is outside of IR35 and is offered as…
132,Python Developer,Nibble Technology,"From £35,000 a year",The role will involve helping us to develop and build out our platform and play a role in supporting the development of new experiences and features.
133,Python Developer,Escape Kent - Canterbury's Biggest Escape Rooms,"From £30,000 a year","We are searching for two highly skilled software engineers to join our incredibly talented prop development team on a full time, permanent basis, with long term…"
134,Python Developer,Searchlight Security Limited,"£30,000 - £75,000 a year","We’re looking for both experienced and junior developers, and are mostly looking for a real passion for coding and the ability to create innovative solutions to…"
135,Python Developer,ONQOR Group,"£30,000 - £35,000 a year","We are heavily creative with a focus on helping brands that are sustainable, ethical & moral, ONQOR Group is a 360° Marketing & Technology Agency proudly…"
136,Python/ Go Developer,Headforwards,"£50,000 - £70,000 a year","Knowledge of relational and / or non-relational (NoSQL) databases (we use MongoDB, Postgres).You will have used Python or Go (If you have good commercial…"
137,Python Developer,Escape Kent - Canterbury's Biggest Escape Rooms,"From £30,000 a year","We are searching for two highly skilled software engineers to join our incredibly talented prop development team on a full time, permanent basis, with long term…"
